yourlist:M20181105AAFB7E4D2F1D05654627429E83DA5CCE019D69D	Entry	Status	Protein names	Organism	Length	Gene names  (primary )	Entry name	Glycosylation
Q15155	Q15155	reviewed	Nodal modulator 1 (pM5 protein)	Homo sapiens (Human)	1222	NOMO1	NOMO1_HUMAN	CARBOHYD 50 50 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 218 218 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 618 618 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.
Q15181	Q15181	reviewed	Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)	Homo sapiens (Human)	289	PPA1	IPYR_HUMAN	
Q15185	Q15185	reviewed	Prostaglandin E synthase 3 (EC 5.3.99.3) (Cytosolic prostaglandin E2 synthase) (cPGES) (Hsp90 co-chaperone) (Progesterone receptor complex p23) (Telomerase-binding protein p23)	Homo sapiens (Human)	160	PTGES3	TEBP_HUMAN	
Q15233	Q15233	reviewed	Non-POU domain-containing octamer-binding protein (NonO protein) (54 kDa nuclear RNA- and DNA-binding protein) (55 kDa nuclear protein) (DNA-binding p52/p100 complex, 52 kDa subunit) (NMT55) (p54(nrb)) (p54nrb)	Homo sapiens (Human)	471	NONO	NONO_HUMAN	
Q15262	Q15262	reviewed	Receptor-type tyrosine-protein phosphatase kappa (Protein-tyrosine phosphatase kappa) (R-PTP-kappa) (EC 3.1.3.48)	Homo sapiens (Human)	1439	PTPRK	PTPRK_HUMAN	CARBOHYD 101 101 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 140 140 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 211 211 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 416 416 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:19349973}.; CARBOHYD 424 424 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 436 436 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 462 462 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 552 552 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 586 586 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 590 590 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 607 607 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 690 690 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q15269	Q15269	reviewed	Periodic tryptophan protein 2 homolog	Homo sapiens (Human)	919	PWP2	PWP2_HUMAN	
Q15287	Q15287	reviewed	RNA-binding protein with serine-rich domain 1 (SR-related protein LDC2)	Homo sapiens (Human)	305	RNPS1	RNPS1_HUMAN	
Q15293	Q15293	reviewed	Reticulocalbin-1	Homo sapiens (Human)	331	RCN1	RCN1_HUMAN	CARBOHYD 53 53 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.
Q15334	Q15334	reviewed	Lethal(2) giant larvae protein homolog 1 (LLGL) (DLG4) (Hugl-1) (Human homolog to the D-lgl gene protein)	Homo sapiens (Human)	1064	LLGL1	L2GL1_HUMAN	
Q15365	Q15365	reviewed	Poly(rC)-binding protein 1 (Alpha-CP1) (Heterogeneous nuclear ribonucleoprotein E1) (hnRNP E1) (Nucleic acid-binding protein SUB2.3)	Homo sapiens (Human)	356	PCBP1	PCBP1_HUMAN	
Q15366	Q15366	reviewed	Poly(rC)-binding protein 2 (Alpha-CP2) (Heterogeneous nuclear ribonucleoprotein E2) (hnRNP E2)	Homo sapiens (Human)	365	PCBP2	PCBP2_HUMAN	
Q15393	Q15393	reviewed	Splicing factor 3B subunit 3 (Pre-mRNA-splicing factor SF3b 130 kDa subunit) (SF3b130) (STAF130) (Spliceosome-associated protein 130) (SAP 130)	Homo sapiens (Human)	1217	SF3B3	SF3B3_HUMAN	
Q15417	Q15417	reviewed	Calponin-3 (Calponin, acidic isoform)	Homo sapiens (Human)	329	CNN3	CNN3_HUMAN	
Q15424	Q15424	reviewed	Scaffold attachment factor B1 (SAF-B) (SAF-B1) (HSP27 estrogen response element-TATA box-binding protein) (HSP27 ERE-TATA-binding protein)	Homo sapiens (Human)	915	SAFB	SAFB1_HUMAN	
Q15427	Q15427	reviewed	Splicing factor 3B subunit 4 (Pre-mRNA-splicing factor SF3b 49 kDa subunit) (Spliceosome-associated protein 49) (SAP 49)	Homo sapiens (Human)	424	SF3B4	SF3B4_HUMAN	
Q15428	Q15428	reviewed	Splicing factor 3A subunit 2 (SF3a66) (Spliceosome-associated protein 62) (SAP 62)	Homo sapiens (Human)	464	SF3A2	SF3A2_HUMAN	
Q15434	Q15434	reviewed	RNA-binding motif, single-stranded-interacting protein 2 (Suppressor of CDC2 with RNA-binding motif 3)	Homo sapiens (Human)	407	RBMS2	RBMS2_HUMAN	
Q15436	Q15436	reviewed	Protein transport protein Sec23A (hSec23A) (SEC23-related protein A)	Homo sapiens (Human)	765	SEC23A	SC23A_HUMAN	
Q15437	Q15437	reviewed	Protein transport protein Sec23B (hSec23B) (SEC23-related protein B)	Homo sapiens (Human)	767	SEC23B	SC23B_HUMAN	
Q15459	Q15459	reviewed	Splicing factor 3A subunit 1 (SF3a120) (Spliceosome-associated protein 114) (SAP 114)	Homo sapiens (Human)	793	SF3A1	SF3A1_HUMAN	
Q15477	Q15477	reviewed	Helicase SKI2W (Ski2) (EC 3.6.4.-) (Helicase-like protein) (HLP)	Homo sapiens (Human)	1246	SKIV2L	SKIV2_HUMAN	
Q15599	Q15599	reviewed	Na(+)/H(+) exchange regulatory cofactor NHE-RF2 (NHERF-2) (NHE3 kinase A regulatory protein E3KARP) (SRY-interacting protein 1) (SIP-1) (Sodium-hydrogen exchanger regulatory factor 2) (Solute carrier family 9 isoform A3 regulatory factor 2) (Tyrosine kinase activator protein 1) (TKA-1)	Homo sapiens (Human)	337	SLC9A3R2	NHRF2_HUMAN	
Q15631	Q15631	reviewed	Translin (EC 3.1.-.-) (Component 3 of promoter of RISC) (C3PO)	Homo sapiens (Human)	228	TSN	TSN_HUMAN	
Q15637	Q15637	reviewed	Splicing factor 1 (Mammalian branch point-binding protein) (BBP) (mBBP) (Transcription factor ZFM1) (Zinc finger gene in MEN1 locus) (Zinc finger protein 162)	Homo sapiens (Human)	639	SF1	SF01_HUMAN	
Q15642	Q15642	reviewed	Cdc42-interacting protein 4 (Protein Felic) (Salt tolerant protein) (hSTP) (Thyroid receptor-interacting protein 10) (TR-interacting protein 10) (TRIP-10)	Homo sapiens (Human)	601	TRIP10	CIP4_HUMAN	
Q15643	Q15643	reviewed	Thyroid receptor-interacting protein 11 (TR-interacting protein 11) (TRIP-11) (Clonal evolution-related gene on chromosome 14 protein) (Golgi-associated microtubule-binding protein 210) (GMAP-210) (Trip230)	Homo sapiens (Human)	1979	TRIP11	TRIPB_HUMAN	
Q15648	Q15648	reviewed	Mediator of RNA polymerase II transcription subunit 1 (Activator-recruited cofactor 205 kDa component) (ARC205) (Mediator complex subunit 1) (Peroxisome proliferator-activated receptor-binding protein) (PBP) (PPAR-binding protein) (Thyroid hormone receptor-associated protein complex 220 kDa component) (Trap220) (Thyroid receptor-interacting protein 2) (TR-interacting protein 2) (TRIP-2) (Vitamin D receptor-interacting protein complex component DRIP205) (p53 regulatory protein RB18A)	Homo sapiens (Human)	1581	MED1	MED1_HUMAN	
Q15654	Q15654	reviewed	Thyroid receptor-interacting protein 6 (TR-interacting protein 6) (TRIP-6) (Opa-interacting protein 1) (OIP-1) (Zyxin-related protein 1) (ZRP-1)	Homo sapiens (Human)	476	TRIP6	TRIP6_HUMAN	
Q15678	Q15678	reviewed	Tyrosine-protein phosphatase non-receptor type 14 (EC 3.1.3.48) (Protein-tyrosine phosphatase pez)	Homo sapiens (Human)	1187	PTPN14	PTN14_HUMAN	
Q15691	Q15691	reviewed	Microtubule-associated protein RP/EB family member 1 (APC-binding protein EB1) (End-binding protein 1) (EB1)	Homo sapiens (Human)	268	MAPRE1	MARE1_HUMAN	
Q15717	Q15717	reviewed	ELAV-like protein 1 (Hu-antigen R) (HuR)	Homo sapiens (Human)	326	ELAVL1	ELAV1_HUMAN	
Q15751	Q15751	reviewed	Probable E3 ubiquitin-protein ligase HERC1 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 1) (HECT-type E3 ubiquitin transferase HERC1) (p532) (p619)	Homo sapiens (Human)	4861	HERC1	HERC1_HUMAN	
Q15758	Q15758	reviewed	Neutral amino acid transporter B(0) (ATB(0)) (Baboon M7 virus receptor) (RD114/simian type D retrovirus receptor) (Sodium-dependent neutral amino acid transporter type 2) (Solute carrier family 1 member 5)	Homo sapiens (Human)	541	SLC1A5	AAAT_HUMAN	CARBOHYD 163 163 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 212 212 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19349973}.
Q15811	Q15811	reviewed	Intersectin-1 (SH3 domain-containing protein 1A) (SH3P17)	Homo sapiens (Human)	1721	ITSN1	ITSN1_HUMAN	
Q15904	Q15904	reviewed	V-type proton ATPase subunit S1 (V-ATPase subunit S1) (Protein XAP-3) (V-ATPase Ac45 subunit) (V-ATPase S1 accessory protein) (Vacuolar proton pump subunit S1)	Homo sapiens (Human)	470	ATP6AP1	VAS1_HUMAN	CARBOHYD 170 170 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 261 261 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 273 273 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 296 296 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 303 303 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 350 350 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 357 357 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q15907	Q15907	reviewed	Ras-related protein Rab-11B (GTP-binding protein YPT3)	Homo sapiens (Human)	218	RAB11B	RB11B_HUMAN	
Q15942	Q15942	reviewed	Zyxin (Zyxin-2)	Homo sapiens (Human)	572	ZYX	ZYX_HUMAN	
Q16181	Q16181	reviewed	Septin-7 (CDC10 protein homolog)	Homo sapiens (Human)	437	SEPT7	SEPT7_HUMAN	
Q16531	Q16531	reviewed	DNA damage-binding protein 1 (DDB p127 subunit) (DNA damage-binding protein a) (DDBa) (Damage-specific DNA-binding protein 1) (HBV X-associated protein 1) (XAP-1) (UV-damaged DNA-binding factor) (UV-damaged DNA-binding protein 1) (UV-DDB 1) (XPE-binding factor) (XPE-BF) (Xeroderma pigmentosum group E-complementing protein) (XPCe)	Homo sapiens (Human)	1140	DDB1	DDB1_HUMAN	
Q16543	Q16543	reviewed	Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37) [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed]	Homo sapiens (Human)	378	CDC37	CDC37_HUMAN	
Q16555	Q16555	reviewed	Dihydropyrimidinase-related protein 2 (DRP-2) (Collapsin response mediator protein 2) (CRMP-2) (N2A3) (Unc-33-like phosphoprotein 2) (ULIP-2)	Homo sapiens (Human)	572	DPYSL2	DPYL2_HUMAN	
Q16563	Q16563	reviewed	Synaptophysin-like protein 1 (Pantophysin)	Homo sapiens (Human)	259	SYPL1	SYPL1_HUMAN	CARBOHYD 71 71 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 212 212 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q16576	Q16576	reviewed	Histone-binding protein RBBP7 (Histone acetyltransferase type B subunit 2) (Nucleosome-remodeling factor subunit RBAP46) (Retinoblastoma-binding protein 7) (RBBP-7) (Retinoblastoma-binding protein p46)	Homo sapiens (Human)	425	RBBP7	RBBP7_HUMAN	
Q16625	Q16625	reviewed	Occludin	Homo sapiens (Human)	522	OCLN	OCLN_HUMAN	
Q16629	Q16629	reviewed	Serine/arginine-rich splicing factor 7 (Splicing factor 9G8) (Splicing factor, arginine/serine-rich 7)	Homo sapiens (Human)	238	SRSF7	SRSF7_HUMAN	
Q16630	Q16630	reviewed	Cleavage and polyadenylation specificity factor subunit 6 (Cleavage and polyadenylation specificity factor 68 kDa subunit) (CPSF 68 kDa subunit) (Cleavage factor Im complex 68 kDa subunit) (CFIm68) (Pre-mRNA cleavage factor Im 68 kDa subunit) (Protein HPBRII-4/7)	Homo sapiens (Human)	551	CPSF6	CPSF6_HUMAN	
Q16637	Q16637	reviewed	Survival motor neuron protein (Component of gems 1) (Gemin-1)	Homo sapiens (Human)	294	SMN1; SMN2	SMN_HUMAN	
Q16643	Q16643	reviewed	Drebrin (Developmentally-regulated brain protein)	Homo sapiens (Human)	649	DBN1	DREB_HUMAN	
Q16658	Q16658	reviewed	Fascin (55 kDa actin-bundling protein) (Singed-like protein) (p55)	Homo sapiens (Human)	493	FSCN1	FSCN1_HUMAN	
Q16666	Q16666	reviewed	Gamma-interferon-inducible protein 16 (Ifi-16) (Interferon-inducible myeloid differentiation transcriptional activator)	Homo sapiens (Human)	785	IFI16	IF16_HUMAN	
Q16698	Q16698	reviewed	2,4-dienoyl-CoA reductase, mitochondrial (EC 1.3.1.34) (2,4-dienoyl-CoA reductase [NADPH]) (4-enoyl-CoA reductase [NADPH]) (Short chain dehydrogenase/reductase family 18C member 1)	Homo sapiens (Human)	335	DECR1	DECR_HUMAN	
Q16706	Q16706	reviewed	Alpha-mannosidase 2 (EC 3.2.1.114) (Golgi alpha-mannosidase II) (AMan II) (Man II) (Mannosidase alpha class 2A member 1) (Mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase)	Homo sapiens (Human)	1144	MAN2A1	MA2A1_HUMAN	CARBOHYD 78 78 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16335952}.; CARBOHYD 93 93 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1125 1125 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:16335952}.
Q16762	Q16762	reviewed	Thiosulfate sulfurtransferase (EC 2.8.1.1) (Rhodanese)	Homo sapiens (Human)	297	TST	THTR_HUMAN	CARBOHYD 35 35 O-linked (GlcNAc) serine. {ECO:0000250}.
Q16822	Q16822	reviewed	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial (PEPCK-M) (EC 4.1.1.32)	Homo sapiens (Human)	640	PCK2	PCKGM_HUMAN	
Q16851	Q16851	reviewed	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase) (UDPGP) (UGPase)	Homo sapiens (Human)	508	UGP2	UGPA_HUMAN	
Q16881	Q16881	reviewed	Thioredoxin reductase 1, cytoplasmic (TR) (EC 1.8.1.9) (Gene associated with retinoic and interferon-induced mortality 12 protein) (GRIM-12) (Gene associated with retinoic and IFN-induced mortality 12 protein) (KM-102-derived reductase-like factor) (Thioredoxin reductase TR1)	Homo sapiens (Human)	649	TXNRD1	TRXR1_HUMAN	
Q16891	Q16891	reviewed	MICOS complex subunit MIC60 (Cell proliferation-inducing gene 4/52 protein) (Mitochondrial inner membrane protein) (Mitofilin) (p87/89)	Homo sapiens (Human)	758	IMMT	MIC60_HUMAN	
Q1KMD3	Q1KMD3	reviewed	Heterogeneous nuclear ribonucleoprotein U-like protein 2 (Scaffold-attachment factor A2) (SAF-A2)	Homo sapiens (Human)	747	HNRNPUL2	HNRL2_HUMAN	
Q27J81	Q27J81	reviewed	Inverted formin-2 (HBEBP2-binding protein C)	Homo sapiens (Human)	1249	INF2	INF2_HUMAN	
Q28141	Q28141	reviewed	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (Nuclear DNA helicase II) (NDH II)	Bos taurus (Bovine)	1287	DHX9	DHX9_BOVIN	
Q29RF7	Q29RF7	reviewed	Sister chromatid cohesion protein PDS5 homolog A (Cell proliferation-inducing gene 54 protein) (Sister chromatid cohesion protein 112) (SCC-112)	Homo sapiens (Human)	1337	PDS5A	PDS5A_HUMAN	
Q2KJ93	Q2KJ93	reviewed	Cell division control protein 42 homolog	Bos taurus (Bovine)	191	CDC42	CDC42_BOVIN	
Q2M1P5	Q2M1P5	reviewed	Kinesin-like protein KIF7	Homo sapiens (Human)	1343	KIF7	KIF7_HUMAN	
Q2M1Z3	Q2M1Z3	reviewed	Rho GTPase-activating protein 31 (Cdc42 GTPase-activating protein)	Homo sapiens (Human)	1444	ARHGAP31	RHG31_HUMAN	
Q2M2I8	Q2M2I8	reviewed	AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1)	Homo sapiens (Human)	961	AAK1	AAK1_HUMAN	
Q2NL82	Q2NL82	reviewed	Pre-rRNA-processing protein TSR1 homolog	Homo sapiens (Human)	804	TSR1	TSR1_HUMAN	
Q2TAY7	Q2TAY7	reviewed	WD40 repeat-containing protein SMU1 (Smu-1 suppressor of mec-8 and unc-52 protein homolog) [Cleaved into: WD40 repeat-containing protein SMU1, N-terminally processed]	Homo sapiens (Human)	513	SMU1	SMU1_HUMAN	
Q32MZ4	Q32MZ4	reviewed	Leucine-rich repeat flightless-interacting protein 1 (LRR FLII-interacting protein 1) (GC-binding factor 2) (TAR RNA-interacting protein)	Homo sapiens (Human)	808	LRRFIP1	LRRF1_HUMAN	
Q32P28	Q32P28	reviewed	Prolyl 3-hydroxylase 1 (EC 1.14.11.7) (Growth suppressor 1) (Leucine- and proline-enriched proteoglycan 1) (Leprecan-1)	Homo sapiens (Human)	736	P3H1	P3H1_HUMAN	CARBOHYD 316 316 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 467 467 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 540 540 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.
Q32P44	Q32P44	reviewed	Echinoderm microtubule-associated protein-like 3 (EMAP-3)	Homo sapiens (Human)	896	EML3	EMAL3_HUMAN	
Q3KQU3	Q3KQU3	reviewed	MAP7 domain-containing protein 1 (Arginine/proline-rich coiled-coil domain-containing protein 1) (Proline/arginine-rich coiled-coil domain-containing protein 1)	Homo sapiens (Human)	841	MAP7D1	MA7D1_HUMAN	
Q3T906	Q3T906	reviewed	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta (EC 2.7.8.17) (GlcNAc-1-phosphotransferase subunits alpha/beta) (Stealth protein GNPTAB) (UDP-N-acetylglucosamine-1-phosphotransferase subunits alpha/beta) [Cleaved into: N-acetylglucosamine-1-phosphotransferase subunit alpha; N-acetylglucosamine-1-phosphotransferase subunit beta]	Homo sapiens (Human)	1256	GNPTAB	GNPTA_HUMAN	CARBOHYD 83 83 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 114 114 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 148 148 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 179 179 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 250 250 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 614 614 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 699 699 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 729 729 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 829 829 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1009 1009 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1129 1129 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q3V6T2	Q3V6T2	reviewed	Girdin (Akt phosphorylation enhancer) (APE) (Coiled-coil domain-containing protein 88A) (G alpha-interacting vesicle-associated protein) (GIV) (Girders of actin filament) (Hook-related protein 1) (HkRP1)	Homo sapiens (Human)	1871	CCDC88A	GRDN_HUMAN	
Q3ZCQ8	Q3ZCQ8	reviewed	Mitochondrial import inner membrane translocase subunit TIM50	Homo sapiens (Human)	353	TIMM50	TIM50_HUMAN	
Q460N5	Q460N5	reviewed	Poly [ADP-ribose] polymerase 14 (PARP-14) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 8) (ARTD8) (B aggressive lymphoma protein 2)	Homo sapiens (Human)	1801	PARP14	PAR14_HUMAN	
Q4G0F5	Q4G0F5	reviewed	Vacuolar protein sorting-associated protein 26B (Vesicle protein sorting 26B)	Homo sapiens (Human)	336	VPS26B	VP26B_HUMAN	
Q4G0J3	Q4G0J3	reviewed	La-related protein 7 (La ribonucleoprotein domain family member 7) (P-TEFb-interaction protein for 7SK stability) (PIP7S)	Homo sapiens (Human)	582	LARP7	LARP7_HUMAN	
Q4KMP7	Q4KMP7	reviewed	TBC1 domain family member 10B (Rab27A-GAP-beta)	Homo sapiens (Human)	808	TBC1D10B	TB10B_HUMAN	
Q4KMQ2	Q4KMQ2	reviewed	Anoctamin-6 (Small-conductance calcium-activated nonselective cation channel) (SCAN channel) (Transmembrane protein 16F)	Homo sapiens (Human)	910	ANO6	ANO6_HUMAN	CARBOHYD 329 329 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 361 361 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 493 493 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 777 777 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 790 790 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 802 802 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q4V328	Q4V328	reviewed	GRIP1-associated protein 1 (GRASP-1) [Cleaved into: GRASP-1 C-terminal chain (30kDa C-terminus form)]	Homo sapiens (Human)	841	GRIPAP1	GRAP1_HUMAN	
Q4VCS5	Q4VCS5	reviewed	Angiomotin	Homo sapiens (Human)	1084	AMOT	AMOT_HUMAN	
Q52LW3	Q52LW3	reviewed	Rho GTPase-activating protein 29 (PTPL1-associated RhoGAP protein 1) (Rho-type GTPase-activating protein 29)	Homo sapiens (Human)	1261	ARHGAP29	RHG29_HUMAN	
Q53EL6	Q53EL6	reviewed	Programmed cell death protein 4 (Neoplastic transformation inhibitor protein) (Nuclear antigen H731-like) (Protein 197/15a)	Homo sapiens (Human)	469	PDCD4	PDCD4_HUMAN	
Q53EP0	Q53EP0	reviewed	Fibronectin type III domain-containing protein 3B (Factor for adipocyte differentiation 104) (HCV NS5A-binding protein 37)	Homo sapiens (Human)	1204	FNDC3B	FND3B_HUMAN	
Q53FA7	Q53FA7	reviewed	Quinone oxidoreductase PIG3 (EC 1.-.-.-) (Tumor protein p53-inducible protein 3) (p53-induced gene 3 protein)	Homo sapiens (Human)	332	TP53I3	QORX_HUMAN	
Q53GG5	Q53GG5	reviewed	PDZ and LIM domain protein 3 (Actinin-associated LIM protein) (Alpha-actinin-2-associated LIM protein)	Homo sapiens (Human)	364	PDLIM3	PDLI3_HUMAN	
Q562E7	Q562E7	reviewed	WD repeat-containing protein 81	Homo sapiens (Human)	1941	WDR81	WDR81_HUMAN	
Q562R1	Q562R1	reviewed	Beta-actin-like protein 2 (Kappa-actin)	Homo sapiens (Human)	376	ACTBL2	ACTBL_HUMAN	
Q56VL3	Q56VL3	reviewed	OCIA domain-containing protein 2 (Ovarian carcinoma immunoreactive antigen-like protein)	Homo sapiens (Human)	154	OCIAD2	OCAD2_HUMAN	
Q58EX2	Q58EX2	reviewed	Protein sidekick-2	Homo sapiens (Human)	2172	SDK2	SDK2_HUMAN	CARBOHYD 193 193 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 609 609 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 743 743 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 936 936 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 948 948 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1102 1102 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1670 1670 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q5BJF6	Q5BJF6	reviewed	Outer dense fiber protein 2 (Cenexin) (Outer dense fiber of sperm tails protein 2)	Homo sapiens (Human)	829	ODF2	ODFP2_HUMAN	
Q5BKY9	Q5BKY9	reviewed	Protein FAM133B	Homo sapiens (Human)	247	FAM133B	F133B_HUMAN	
Q5BKZ1	Q5BKZ1	reviewed	DBIRD complex subunit ZNF326 (Zinc finger protein 326) (Zinc finger protein interacting with mRNPs and DBC1)	Homo sapiens (Human)	582	ZNF326	ZN326_HUMAN	
Q5C9Z4	Q5C9Z4	reviewed	Nucleolar MIF4G domain-containing protein 1 (SGD1 homolog)	Homo sapiens (Human)	860	NOM1	NOM1_HUMAN	
Q5D862	Q5D862	reviewed	Filaggrin-2 (FLG-2) (Intermediate filament-associated and psoriasis-susceptibility protein) (Ifapsoriasin)	Homo sapiens (Human)	2391	FLG2	FILA2_HUMAN	
Q5GLZ8	Q5GLZ8	reviewed	Probable E3 ubiquitin-protein ligase HERC4 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 4) (HECT-type E3 ubiquitin transferase HERC4)	Homo sapiens (Human)	1057	HERC4	HERC4_HUMAN	
Q5H9R7	Q5H9R7	reviewed	Serine/threonine-protein phosphatase 6 regulatory subunit 3 (SAPS domain family member 3) (Sporulation-induced transcript 4-associated protein SAPL)	Homo sapiens (Human)	873	PPP6R3	PP6R3_HUMAN	
Q5JPH6	Q5JPH6	reviewed	Probable glutamate--tRNA ligase, mitochondrial (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	Homo sapiens (Human)	523	EARS2	SYEM_HUMAN	
Q5JRA6	Q5JRA6	reviewed	Transport and Golgi organization protein 1 homolog (TANGO1) (C219-reactive peptide) (D320) (Melanoma inhibitory activity protein 3)	Homo sapiens (Human)	1907	MIA3	TGO1_HUMAN	CARBOHYD 246 246 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 589 589 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.
Q5JRX3	Q5JRX3	reviewed	Presequence protease, mitochondrial (hPreP) (EC 3.4.24.-) (Pitrilysin metalloproteinase 1) (Metalloprotease 1) (hMP1)	Homo sapiens (Human)	1037	PITRM1	PREP_HUMAN	
